"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Chris Sale","Red Sox","BOS @ TOR",".53","6.96","28.12","5.87","3.54","1.42",".09",".83","1.85","8.63","27.53","45.07","25.89","10603"
"Carlos Martinez","Cardinals","NYM @ STL",".36","6.64","27.60","5.26","3.61","1.11",".08",".46","3.01","7.42","23.45","40.17","22.02","11682"
"Noah Syndergaard","Mets","NYM @ STL",".38","6.50","26.63","5.50","3.83","1.11",".12",".44","2.19","7.38","23.77","39.88","22.18","11762"
"Kyle Hendricks","Cubs","MIL @ CHC",".48","6.86","27.85","5.91","3.81","1.23",".07",".81","1.94","6.89","23.41","39.23","21.81","12049"
"Jakob Junis","Royals","CWS @ KC",".48","6.38","25.64","5.53","3.63",".98",".18",".74","1.53","7.10","23.67","38.89","21.82","13619"
"Chris Archer","Rays","TB @ BAL",".38","6.41","26.50","5.72","3.48","1.02",".07","1.14","2.03","7.40","22.27","37.64","20.78","6345"
"Ben Lively","Phillies","ARI @ PHI",".43","6.46","26.84","5.48","3.53","1.15",".13",".67","2.61","5.98","20.01","34.81","18.60","14932"
"Sean Newcomb","Braves","ATL @ CIN",".42","6.13","26.47","4.92","3.30",".88",".10",".64","3.87","6.61","19.25","34.87","18.31","16943"
"James Paxton","Mariners","SEA @ CLE",".40","6.30","26.67","5.79","3.66","1.36",".08",".68","2.58","6.39","19.49","34.48","18.29","11828"
"Dylan Bundy","Orioles","TB @ BAL",".37","6.49","26.91","5.97","3.82","1.14",".15",".86","2.06","6.16","19.84","34.35","18.40","12917"
"Mike Clevinger","Indians","SEA @ CLE",".32","5.97","25.76","5.65","3.55","1.23",".09",".78","2.74","6.42","18.00","32.48","16.97","12808"
"Michael Fulmer","Tigers","DET @ PIT",".38","6.55","27.18","6.03","4.11","1.21",".16",".56","2.16","5.20","18.28","32.30","16.94","13218"
"Jordan Montgomery","Yankees","MIN @ NYY",".41","5.47","23.12","4.78","3.05",".94",".06",".73","2.42","5.64","17.43","30.02","16.22","16511"
"Ivan Nova","Pirates","DET @ PIT",".37","6.49","26.31","6.17","4.23","1.28",".12",".55","1.27","4.44","17.63","30.26","15.91","1994"
"Chase Anderson","Brewers","MIL @ CHC",".26","5.79","24.82","5.70","3.23","1.26",".11","1.10","2.23","5.20","14.92","27.24","13.83","6895"
"Marco Estrada","Blue Jays","BOS @ TOR",".25","6.19","26.35","6.10","3.56","1.42",".09","1.04","2.25","4.62","14.26","26.57","13.10","1118"
"Homer Bailey","Reds","ATL @ CIN",".30","6.17","26.30","6.27","4.04","1.25",".10",".89","2.20","4.20","13.72","26.00","12.62","8362"
"Kyle Gibson","Twins","MIN @ NYY",".24","5.52","24.55","5.60","3.27","1.07",".07","1.19","2.97","5.30","12.94","25.36","12.29","10123"
"Lucas Giolito","White Sox","CWS @ KC",".26","6.04","26.61","6.11","3.88","1.25",".14",".83","3.01","4.42","12.45","25.10","11.76","15474"
"Matt Koch","Diamondbacks","ARI @ PHI",".30","6.13","26.03","6.16","3.86","1.15",".16",".99","2.10","3.90","13.06","24.73","11.94","13420"
